ID;Domanda;Opzione A;Opzione B;Opzione C;Opzione D;Corretta;Spiegazione/Fonte
28;Qual è il cuore della Legge nel Pentateuco?;I sacrifici;Le genealogie;I Dieci Comandamenti;Il censimento;C;Costituiscono la carta costituzionale dell'alleanza [61-64].
29;Quale tribù è consacrata al servizio del santuario?;Giuda;Beniamino;Levi;Efraim;C;Costituisce il quinto livello dell'alleanza [65-68].
30;Cos'è la "Legge del Taglione"?;Perdono;Limite alla vendetta;Pena di morte;Multa;B;Proporzionalità: vita per vita, ferita per ferita [69-71].
31;Quale libro tratta della santità e del culto?;Genesi;Esodo;Levitico;Numeri;C;Contiene collezioni legislative sul rituale [72-74].
32;Cosa commemora la Pasqua ebraica?;La Legge;Il Diluvio;La liberazione dall'Egitto;La creazione;C;Dal termine "passaggio" (pèsach) [75-77].
33;Quanti esploratori mandò Giosuè a Gerico?;12;7;2;3;C;Raab li nascose e fu salvata [78-80].
34;A quale età morì Giosuè?;100;110;120;80;B;Fu sepolto nel territorio di Efraim [81-83].
35;Chi uccise Sisara con un piolo?;Debora;Giaele;Rut;Giuditta;B;Moglie di Eber il Kenita [84-86].
36;Qual era il segreto della forza di Sansone?;I muscoli;Il voto di nazireato;La lancia;La preghiera;B;Capelli mai tagliati e astensione dal vino [62, 87, 88].
37;Chi è considerato l'ultimo dei Giudici?;Gedeone;Sansone;Samuele;Iefte;C;Segnò il passaggio alla monarchia [66, 89, 90].
38;Chi fu il primo re consacrato d'Israele?;Davide;Saul;Salomone;Giosia;B;Figlio di Kis, unto da Samuele [91-93].
39;Quale città Davide rese capitale?;Hebron;Sichem;Gerusalemme;Betlemme;C;La strappò ai Gebusei (Sion) [94-96].
40;Quale profeta denunciò il peccato di Davide?;Samuele;Natan;Gad;Elia;B;Usò la parabola della pecorella del povero [97-99].
41;In quale anno avvenne lo scisma del Regno?;1000 a.C.;931 a.C.;722 a.C.;587 a.C.;B;Alla morte di Salomone tra Roboamo e Geroboamo [100-102].
42;Quale re costruì il primo Tempio?;Davide;Salomone;Ezechia;Giosia;B;Sul monte Moria a Gerusalemme [103-105].
43;Chi fu il primo re del Regno del Nord?;Roboamo;Geroboamo;Acab;Ieu;B;Scelto dalle dieci tribù settentrionali [106-108].
44;In quale anno cadde Gerusalemme (Babilonesi)?;722 a.C.;622 a.C.;587 a.C.;538 a.C.;C;Per mano di Nabucodonosor [109-111].
45;Quale re persiano permise il ritorno?;Dario;Serse;Ciro;Artaserse;C;Emanò l'editto nel 538 a.C. [112-114].
46;Qual è il significato di "Vangelo"?;Legge;Buona Notizia;Storia;Visione;B;Dal greco euanghèlion [115-117].
47;Quali sono i Vangeli sinottici?;Matteo-Giovanni;Matteo-Marco-Luca;Luca-Giovanni;Marco-Giovanni;B;Hanno uno sguardo d'insieme [118-120].
48;Quale animale è il simbolo di Marco?;Uomo;Leone;Bue;Aquila;B;Per il grido del Battista nel deserto [121-123].
49;Quale Vangelo presenta Gesù come "Logos"?;Matteo;Marco;Luca;Giovanni;D;Nel Prologo "In principio era il Verbo" [124-126].
50;Chi scrisse gli Atti degli Apostoli?;Pietro;Paolo;Luca;Marco;C;Pensato come continuazione del Vangelo [127-129].
51;Qual è l'ultimo libro dell'Antico Testamento?;Malachia;Siracide;Sapienza;Daniele;C;Scritto verso la metà del I sec. a.C. [130-132].
52;Chi è il primo "grande profeta" che parlava con Dio "faccia a faccia"?;Elia;Samuele;Mosè;Isaia;C;Modello di ogni profezia d'Israele [133-135].
53;Come viene diviso il libro di Isaia?;In 2 parti;In 3 parti;In 5 libri;In 12 capitoli;B;Proto, Deutero e Trito-Isaia [118, 136, 137].
54;Chi era il segretario di Geremia?;Esdra;Neemia;Baruc;Tichico;C;Trascrisse gli oracoli del profeta [138-140].
55;Quale profeta vide le ossa inaridite tornare in vita?;Isaia;Geremia;Ezechiele;Daniele;C;Simbolo della rinascita dopo l'esilio [141-143].
56;In quale isola fu esiliato l'autore dell'Apocalisse?;Cipro;Creta;Patmos;Malta;C;Ricevette qui le visioni profetiche [144-146].
57;Qual è il numero simbolico dei redenti nell'Apocalisse?;1000;12000;144000;7000;C;Pienezza del popolo di Dio (12x12x1000) [147-149].
58;Cosa significa "Maranà-thà"?;Dio ci aiuti;Vieni, Signore!;Dio è qui;Pace a voi;B;Invocazione aramaica per il ritorno di Cristo [150-152].
59;In che anno Alessandro Magno occupò la Palestina?;538 a.C.;63 a.C.;333 a.C.;164 a.C.;C;Inizio dell'influsso ellenistico [153-155].
60;Chi è l'autore della Vulgata?;Agostino;Girolamo;Ambrogio;Damaso;B;Traduzione latina ufficiale del IV secolo [22, 23, 156].
61;Cosa indica il termine "Paraclito"?;Giudice;Intercessore;Messia;Sacerdote;B;Riferito allo Spirito Santo nel Vangelo di Giovanni [157-159].
62;Quale re di Giuda fu protagonista della riforma del 622 a.C.?;Ezechia;Giosia;Davide;Asa;B;Basata sul ritrovamento del libro della Legge [160-162].
63;Quanti sono i Salmi nel Salterio?;100;120;150;200;C;Suddivisi in 5 libri dalla tradizione ebraica [163-165].
64;Chi era il sommo sacerdote al tempo di Gesù?;Anna;Caifa;Erode;Pilato;B;Condannò Gesù davanti al Sinedrio [166-168].
65;Quale città vide la morte del re Saul?;Gerusalemme;Bet-Sean;Ebron;Rama;B;Cadde sul monte Gelboe contro i Filistei [169-171].
66;Cosa significa il nome "Emanuele"?;Dio salva;Dio con noi;Signore;Luce;B;Dalla profezia di Isaia ripresa da Matteo [172-174].
67;Chi fu il primo martire cristiano?;Giacomo;Pietro;Stefano;Paolo;C;Lapidato a Gerusalemme per la fede [175-177].
68;Quale mare è il più profondo della terra?;Mar Rosso;Mediterraneo;Mar Morto;Galilea;C;Dove sfocia il Giordano a -423m [178-180].
69;Chi guidò la rivolta nel 167 a.C.?;Davide;Giosuè;Mattatia;Samuele;C;Inizio dell'epopea maccabaica [181-183].
70;Quale Vangelo sottolinea la misericordia verso i poveri?;Matteo;Marco;Luca;Giovanni;C;Presenta Gesù come Salvatore universale [184-186].
71;Dove avvenne la trasfigurazione di Gesù?;Sinai;Tabor;Carmelo;Nebo;B;Davanti a Pietro, Giacomo e Giovanni [187-189].
72;Chi è il destinatario di Luca e Atti?;Teofilo;Paolo;Pietro;Giacomo;A;Eminente personaggio che doveva essere istruito [190-192].
73;Cosa simboleggia il "Leone" per Marco?;Potenza;Ruggito del Battista;Coraggio;Regalità;B;Il deserto dove risuona la voce di Giovanni [122, 123, 193].
74;Quale libro inizia con "Vanità delle vanità"?;Proverbi;Siracide;Qoelet;Sapienza;C;Riflessione sulla caducità umana [194-196].
75;Qual è il "carisma più grande" per Paolo?;Profezia;Lingue;Carità;Sapienza;C;Cantato in 1 Corinzi 13 [197-199].
76;Chi fu eletto al posto di Giuda Iscariota?;Paolo;Barnaba;Mattia;Stefano;C;Scelto per sorteggio tra i Dodici [200-202].
77;In quale lingua è scritto il libro della Sapienza?;Ebraico;Aramaico;Greco;Latino;C;Risente della cultura ellenistica [115, 203, 204].
78;Cosa significa "Hokmah"?;Magia;Sapienza pratica;Filosofia;Legge;B;Arte di vivere rettamente secondo Dio [205-207].
79;Quale profeta affrontò i profeti di Baal?;Eliseo;Elia;Isaia;Michea;B;Sul monte Carmelo per la fede in Jhwh [208-210].
80;Quanti anni rimasero gli Ebrei in Egitto?;40;70;430;100;C;Dalla discesa di Giacobbe all'Esodo [55, 211].
81;Chi era la madre di Samuele?;Rachele;Anna;Sara;Rebecca;B; Sterile, ottenne il figlio con la preghiera [212-214].
82;Quale segno salvò le case durante la X piaga?;Acqua;Fuoco;Sangue d'agnello;Olio;C;Sugli stipiti e sull'architrave [77, 215, 216].
83;Chi era lo schiavo fuggiasco di Paolo?;Tichico;Onesimo;Epafra;Tito;B;Convertito in prigione e rimandato a Filemone [217-219].
84;Quale città fu la prima capitale di Davide?;Gerusalemme;Ebron;Betlemme;Sichem;B;Vi regnò 7 anni prima di Gerusalemme [220-222].
85;Cosa significa "Purim"?;Purificazione;Sorte;Libertà;Preghiera;B;Dalla sorte gettata da Aman nel libro di Ester [223-225].
86;Quale re chiese il dono del "cuore docile"?;Saul;Davide;Salomone;Giosia;C;Dio gli concesse la sapienza suprema [226-228].
87;Quanti furono i "Giudici" maggiori?;3;6;12;24;B;Inclusi Gedeone, Sansone e Debora [229, 230].
88;In quale città morì Geremia?;Gerusalemme;Babilonia;Egitto;Roma;C;Tradizionalmente inghiottito in terra egiziana [231-233].
89;Chi è l'unico apostolo sotto la croce in Giovanni?;Pietro;Giovanni;Andrea;Tommaso;B;Identificato come il discepolo amato [234-236].
90;Cosa significa "Abba"?;Signore;Re;Padre;Creatore;C;Termine aramaico familiare usato da Gesù [237, 238].
91;Quale re assiro assediò Gerusalemme nell'701?;Sargon;Sennacherib;Dario;Serse;B;Sotto il regno di Ezechia [239-241].
92;Cosa sono i libri "Sapienziali"?;Leggi;Profezie;Riflessioni sulla vita;Storie di re;C;Giobbe, Salmi, Proverbi, ecc. [195, 242].
93;In che secolo è nato il movimento AdP?;XVII;XVIII;XIX;XX;C;Nel 1844 da giovani gesuiti [243, 244].
94;Qual è il tema centrale di Romani?;Circoncisione;Giustificazione per fede;Miracoli;Regno di Dio;B;L'uomo è reso giusto per la grazia [245-247].
95;Cosa indica l'Alfa e l'Omega?;Inizio e fine;Amore;Sofferenza;Giustizia;A;Attributo di Dio e di Cristo nell'Apocalisse [248, 249].
96;Chi scrisse il IV Vangelo?;Matteo;Marco;Luca;Giovanni;D;Presenta Gesù come Verbo incarnato [33, 244].
97;Quale mare si divise davanti a Mosè?;Mar Morto;Mediterraneo;Mar Rosso;Galilea;C;Evento fondante della libertà d'Israele [56, 57, 250].
98;Quante sono le piaghe d'Egitto?;3;7;10;12;C;Castighi divini per convincere il Faraone [54, 251, 252].
99;Chi fu il successore di Elia?;Isaia;Geremia;Eliseo;Amos;C;Ne raccolse il mantello e lo spirito [210, 253].
100;Cosa significa "Amen"?;Grazie;Pace;Certamente/Così sia;Addio;C;Formula di adesione alla parola di Dio [254, 255].
101;Etimologia di "prophetès"?;Veggente;Portavoce di un altro;Scrittore;Eremita;B;Colui che parla in nome di Dio [256].
102;Formula tipica profetica?;Amen;Ascolta;Così dice il Signore;Pace;C;Indica l'autorità del messaggio [257].
103;Sviluppo della profezia?;X-II sec;X-VI sec;VIII-IV sec;XII-X sec;B;Soprattutto nel periodo monarchico [258].
104;Protagonista del Pentateuco?;Abramo;Isacco;Giacobbe;Mosè;D;Guida d'Israele verso la libertà [134, 258].
105;Isaia - Proto?;1-39;40-55;56-66;1-12;A;Periodo pre-esilico [137, 259].
106;Isaia - Deutero?;1-39;40-55;56-66;24-27;B;Periodo dell'esilio [137, 260].
107;Isaia - Trito?;1-39;40-55;56-66;34-35;C;Periodo post-esilico [137, 261].
108;Tema del Trito-Isaia?;Babilonia;Culto e Sabato;Idoli;Guerra;B;Riedificazione del popolo dopo il ritorno [261].
109;Patria di Geremia?;Gerusalemme;Anatòt;Betlemme;Samaria;B;Figlio di Chelkia [233, 262].
110;Segretario di Geremia?;Safan;Esdra;Baruc;Neemia;C;Trascrisse i lamenti e oracoli [139, 140].
111;Re che bruciò il rotolo?;Ioiachìn;Ioiakìm;Sedecìa;Ezechia;B;Rifiuto della parola divina [263].
112;Circoncisione del cuore?;Rito fisico;Fedeltà interiore;Festa;Legge;B;Metafora di Geremia per la conversione [55, 264].
113;Giogo di Geremia?;Vittoria;Sottomissione a Babilonia;Pace;Potere;B;Gesto simbolico per la resa [51, 265].
114;Anno caduta Tempio?;722;587;538;63;B;Distruzione di Nabucodonosor [110, 111].
115;Ezechiele - Nome?;Dio salva;Dio dà forza;Amico;Servo;B;Sacerdote deportato nel 597 a.C. [266].
116;Segno sulla fronte (Ez)?;Croce;Cerchio;Tau;Stella;C;L'ultima lettera dell'alfabeto ebraico [267, 268].
117;Ossa inaridite (Ez 37)?;Morte;Rinascita Israele;Fine;Inferno;B;Speranza dopo l'esilio [143, 269].
118;Gesto fuga notturna (Ez)?;Capelli;Breccia nel muro;Muto;Teglia;B;Prefigurò la cattura di Sedecia [270].
119;Sadociti?;Falsi dèi;Leviti addetti al culto;Soldati;Re;B;Discendenti di Sadoc [271].
120;Fiume dal Tempio?;Giordano;Nilo;Presenza divina feconda;Morte;C;Visione finale di Ezechiele [272, 273].
121;Carro di Cherubini?;Isaia;Geremia;Ezechiele;Daniele;C;Visione presso il fiume Chebar [274, 275].
122;Zaccaria 1-8?;Greco;Post-esilico (Tempio);Pre-esilico;Persiano;B;Periodo della ricostruzione [276].
123;Perché "Profeti minori"?;Meno santi;Libri più brevi;Più recenti;Pagani;C;Distinzione puramente materiale [277, 278].
124;Lingua di Daniele?;Ebraico;Ebraico e Aramaico;Greco;Latino;B;Capitoli 2-7 in aramaico [279].
125;Profeta con Zaccaria?;Osea;Aggeo;Amos;Michea;B;Scosse gli animi per il Tempio [280].
126;Significato di Vangelo?;Codice;Buona Notizia;Leggenda;Storia;B;Riferito alla persona di Gesù [117, 281].
127;Vangeli Sinottici?;Mt-Mc-Lc;Gv-Lc;Mc-Gv;Tutti;A;Sguardo d'insieme [70, 120].
128;Vangelo vs Antico Testam.?;Marco;Luca;Matteo;Giovanni;C;Sottolinea il compimento delle promesse [282].
129;Vangelo senza infanzia?;Matteo;Marco;Luca;Giovanni;B;Inizia con il ministero pubblico [283, 284].
130;Segreto Messianico?;Setta;Gesù cela identità;Codice;Miracolo;B;Tipico di Marco [285, 286].
131;Destinatario Teofilo?;Matteo;Marco;Luca;Giovanni;C;Significa "Amico di Dio" [191, 192].
132;Simbolo di Marco?;Angelo;Leone;Bue;Aquila;B;Giovanni Battista nel deserto [123, 287].
133;Parabola Buon Samaritano?;Matteo;Marco;Luca;Giovanni;C;Solo nel terzo Vangelo [288, 289].
134;Gesù "Logos"?;Matteo;Marco;Luca;Giovanni;D;Il Verbo fatto carne [125, 290].
135;Discorso Montagna (Mt)?;Fine;Nuova Legge/Beatitudini;Missione;Regno;B;Richiama il Sinai [291, 292].
136;Segni in Giovanni?;3;7;12;40;B;Miracoli chiamati "opere" [293, 294].
137;Culla Cristianesimo?;Betlemme;Nazaret;Golgota/Risurrezione;Antiochia;C;Sorgente della fede [172, 295].
138;Primo Vangelo redatto?;Matteo;Marco;Luca;Giovanni;B;Intorno al 70 d.C. [296, 297].
139;Simbolo di Luca?;Leone;Bue;Angelo;Aquila;B;Mansuetudine e sacrificio [298, 299].
140;Paraclito?;Giudice;Intercessore;Dottore;Re;B;Lo Spirito Santo [159, 300].
141;Lingua parlata da Gesù?;Ebraico;Aramaico;Greco;Latino;B;Dialetto semitico del tempo [301, 302].
142;Apostolicità?;Età;Legame con i Dodici;Lunghezza;Lingua;B;Criterio di canonicità [303, 304].
143;Libro dei Segni/Gloria?;Matteo;Marco;Luca;Giovanni;D;Struttura del IV Vangelo [294, 305].
144;Autore degli Atti?;Pietro;Paolo;Luca;Marco;C;Compagno di Paolo [129, 306].
145;Inizio missione Atti?;Pasqua;Pentecoste;Conversione Paolo;Cena;B;Dono dello Spirito [307, 308].
146;Primo Martire (Atti)?;Giacomo;Pietro;Stefano;Andrea;C;Lapidato a Gerusalemme [177, 309].
147;Città nome "Cristiani"?;Roma;Gerusalemme;Antiochia;Efeso;C;Missione ai pagani [310, 311].
148;Compagno I viaggio Paolo?;Sila;Barnaba;Timoteo;Luca;B;Insieme a Cipro [312, 313].
149;Concilio Gerusalemme?;No idoli;No circoncisione pagani;No Sabato;Solo Roma;B;Apertura universale [292, 314].
150;Meta finale Atti?;Gerusalemme;Atene;Roma;Spagna;C;Il Vangelo al centro del mondo [315, 316].
151;Geremia nella cisterna?;Fame;No resa a Babilonia;Idolatria;Lotta;B;Accusato di tradimento [317].
152;Emmanuele (Mt)?;Messia;Dio con noi;Salvezza;Luce;B;Da Isaia 7 [174, 318].
153;Mt 25 - Pecore/Capri?;Talenti;Giudizio Finale;Vignaiolo;Seminatore;A;Responsabilità verso i poveri [319, 320].
154;Gesù svelato Messia (Mc)?;Battesimo;Trasfigurazione;Croce;Tempio;C;Riconoscimento del centurione [286, 321].
155;Nunc Dimittis (Simeone)?;Matteo;Marco;Luca;Giovanni;C;Preghiera della sera [322, 323].
156;Zaccheo?;Fariseo;Capo pubblicani;Pescatore;Soldato;B;Salì sul sicomoro [324, 325].
157;Segno risurrezione (Gv)?;Pani;Cieco;Lazzaro;Cana;B;Ultimo e più grande segno [326, 327].
158;Cana di Galilea?;Cieco;Pani;Vino alle nozze;Tempesta;C;Primo segno in Giovanni [328, 329].
159;Apostolo incredulo?;Pietro;Gv;Tommaso;Giacomo;C;"Mio Signore e mio Dio" [330, 331].
160;Lingua del NT?;Ebraico;Aramaico;Greco (Koinè);Latino;C;Lingua colta ma popolare [332, 333].
161;Sette Stelle (Ap)?;Sette piaghe;Angeli delle Chiese;Tribù;Sacramenti;B;Visione inaugurale [334, 335].
162;Bestia dal mare (Ap)?;Leone;Potere persecutore;Drago;Agnello;C;Impero ostile a Dio [336-338].
163;Patmos?;Cipro;Creta;Patmos;Malta;C;Isola della rivelazione [145, 339].
164;Degno di aprire i sigilli?;Mosè;Angelo;L'Agnello (Cristo);Giovanni;C;Vincitore per il sangue [340, 341].
165;Nuova Gerusalemme?;Città di Davide;Dimora eterna di Dio;Fortezza;Sogno;B;Fine dell'Apocalisse [342, 343].
166;Matteo - Simbolo?;Leone;Uomo/Angelo;Bue;Aquila;B;Genealogia umana [344, 345].
167;Salvatore di tutti (Lc)?;Matteo;Luca;Marco;Giovanni;B;Dimensione universale [185, 346].
168;Ambiente profetico?;Sinedrio;Scuola dei discepoli;Corte;Esercito;B;Trasmissione oracoli [347].
169;Ezechiele 37?;Tempio;Ossa secche;Gog;Carro;B;Risurrezione d'Israele [143, 348].
170;Samuele - Ruolo?;Re;Ultimo Giudice/I Profeta;Sacerdote;Generale;B;Transizione alla monarchia [89, 90].
171;Ciro di Persia?;Messia di Dio;Nemico;Faraone;Saggio;A;Liberò gli esuli nel 538 a.C. [114, 349].
172;Elia vs Baal?;Sinai;Carmelo;Tabor;Nebo;B;Fuoco dal cielo [210, 350].
173;Inghiottito dal pesce?;Osea;Giona;Amos;Michea;B;Segno della risurrezione [351, 352].
174;Apocalisse - Etimo?;Fine;Rivelazione;Distruzione;Paura;B;Svelamento [230, 353].
175;Salvati (Ap)?;1.000;12.000;144.000;7.000;C;Pienezza simbolica [148, 149, 354].
176;In principio era il Verbo?;Matteo;Marco;Luca;Giovanni;D;Divinità del Logos [22, 126].
177;Morte di Geremia?;Babilonia;Egitto;Roma;Anatot;B;Inghiottito dalla terra straniera [232].
178;Io sono la Via...?;Matteo;Marco;Luca;Giovanni;D;Autorivelazione di Gesù [294, 355].
179;Viaggi di Paolo?;Vangelo;Atti;Apocalisse;Romani;B;Da Gerusalemme a Roma [356, 357].
180;Sommo Sacerdote condanna?;Anna;Caifa;Erode;Pilato;B;Uno solo muoia per il popolo [27, 167, 358].
181;V discorso Matteo?;Beatitudini;Missione;Parabole;Escatologia (fine);D;Compimento del Regno [358, 359].
182;Fiele del pesce (Tobia)?;Veleno;Medicina occhi Tobi;Cibo;Idolo;B;Guarigione della cecità [360, 361].
183;Virtù in 1 Pietro?;Fede;Speranza;Giustizia;Sapienza;B;Sostegno nelle prove [362-364].
184;150 preghiere?;Proverbi;Salmi;Qoelet;Siracide;B;Lodi (Tehillim) [365, 366].
185;Autore di Romani?;Pietro;Paolo;Giacomo;Giovanni;B;Vangelo potenza di Dio [367, 368].
186;Isaia - Significato?;Dio con noi;Il Signore salva;Re;Profeta;B;Ministero di 40 anni [278].
187;Tempio ideale (Ez)?;Isaia;Geremia;Ezechiele;Daniele;C;Nuova organizzazione [273, 369].
188;Confessioni di Geremia?;3;5;7;10;B;Dramma interiore profetico [370].
189;Maria e le donne (Lc)?;Matteo;Marco;Luca;Giovanni;C;Sensibilità verso gli ultimi [154, 371, 372].
190;Anticristo (2 Ts)?;Atti;2 Tessalonicesi;Romani;Giacomo;B;L'uomo dell'iniquità [338, 373, 374].
191;Successore di Eli?;Aronne;Zadok;Samuele;Natan;C;A Silo [375, 376].
192;Riforma 622 a.C.?;Ezechia;Giosia;Davide;Salomone;B;Ritrovamento della Legge [161, 162, 377].
193;Passaggio Mar Rosso?;Ebrei;Egiziani;Filistei;Assiri;A;Libertà dalla schiavitù [56, 57, 179].
194;Libri del NT?;39;46;27;73;C;Unanimità cristiana [378, 379].
195;Versetti numerati?;XIII sec;XVI sec;II sec;IV sec;B;1528 d.C. [1, 6, 380].
196;Diathèke?;Morte;Alleanza;Eredità;Libro;B;Patto di sangue [26, 381, 382].
197;Monte della Legge?;Sinai/Oreb;Tabor;Carmelo;Nebo;A;Cuore dell'alleanza [52, 53, 383].
198;Biblo/Gebal?;Pergamena;Papiro;Pietra;Seta;B;Origine del nome Bibbia [34, 384, 385].
199;Vulgata latina?;Agostino;Girolamo;Ambrogio;Damaso;B;Testo ufficiale [21-23, 386].
200;Circoncisione?;Sabato;Abramo;Decima;Agnello;B;Segno perenne della carne [43, 44, 387].
201;Sapienza - Definizione?;Magia;Esperienza pratica;Legge;Futuro;B;Arte di vivere [206, 207, 388].
202;Inizio della Sapienza?;Amore;Legge;Timore del Signore;Digiuno;C;Fondamento etico [389, 390].
203;Patrono dei Sapienti?;Davide;Salomone;Mosè;Ezechiele;B;Punto di riferimento [391].
204;Soferenza innocente?;Proverbi;Siracide;Giobbe;Qoelet;C;Dramma di Uz [392, 393].
205;Satana in Giobbe?;Diavolo;Accusatore/Ministro;Re;Profeta;B;Nel prologo [394, 395].
206;Tutto è vanità?;Gloria;Qoelet;Taglione;Tempio;B;Transitorietà [195, 196, 396].
207;Ultimo libro AT (cronol)?;Malachia;Siracide;Sapienza;Daniele;C;Metà I sec a.C. [131, 132, 397].
208;Lingua Siracide?;Aramaico;Greco (da ebraico);Latino;Puro greco;B;Traduzione di Ben Sira [136, 398].
209;Tehillim?;Leggi;Salmi;Profeti;Saggi;B;Significa "Lodi" [165, 366, 399].
210;Libri del Salterio?;3;12;5;7;C;Come la Torah [164, 400, 401].
211;Cantico per eccellenza?;Salmi;Lamentazioni;Cantico dei Cantici;Sapienza;C;Poesia amorosa [112, 402].
212;Protagonisti Cantico?;Dio-Mosè;Innamorati;Re-Popolo;Cristo-Apostoli;B;Amore umano e divino [133, 153, 403].
213;Sofferenza giusti (Sap)?;Peccato;Prova fedeltà;Destino;Ira;B;Maturazione del fedele [404].
214;Raffaele - Nome?;Forza;Medicina di Dio;Chi è come Dio;Luce;B;Guaritore in Tobia [405, 406].
215;Atto di pietà di Tobi?;Digiuno;Seppellire i morti;Preghiera;Sacrificio;B;Rischio della vita [407-409].
216;Uccise Oloferne?;Ester;Rut;Giuditta;Debora;C;Liberò Betulia [140, 410, 411].
217;Purim?;Legge;Liberazione via Ester;Diluvio;Canaan;B;Festa della sorte [224, 412, 413].
218;Risurrezione (2 Mac)?;Monoteismo;Risurrezione dei morti;Sabato;Circoncisione;B;Fede dei martiri [414, 415].
219;Miracoli in Giovanni?;Prodigi;Segni;Magie;Visioni;B;Rivelano l'identità [294, 416].
220;I Segno (Gv)?;Cieco;Pani;Nozze di Cana;Lazzaro;C;Acqua in vino [329, 417].
221;Andò da Gesù di notte?;Pilato;Nicodèmo;Caifa;Lazzaro;B;Capo dei Giudei [418].
